"titre","status","ads_d_appartenance","lien_ticket_jira","s__v__rit___dp_roc","bloc","version_corrective_111","sprint_de_correction_1","description_du_bug","version_de_roc"
"Pb de sessions PHP qui ne se libèrent pas","En cours de résolution et de qualification","DP ROC","ROC-3172","Majeur","Environnement","LIVRAISON HORS VERSION","Sprint V9.3","Nous avons eu une alerte de l'équipe C1NP concernant les sessions PHP qui ne se libèrent pas sur le front NP.

Ce bug est rencontré aussi bien sur l'environnement de qualification que sur la PPROD.

Depuis l'installation de la version 8 3.2 sur qualif (28 janvier) et PPROD (29 janvier) les sessions s'élèvent à 225425 fichiers sur qualif et 235923 fichiers sur preprod .

Pour information, la PPROD C1NP n'est pas reliée à la PPROD C1DR et il n'y a ainsi par conséquent aucune activité sur cet environnement.

Une vérification a été effectuée en PROD (version 7.5.3) : nombre de sessions : 1250 et datent toutes du jour.

Nous avons vérifié le front DR : le comportement n'est pas le même. Les sessions datent du jour et sont de l'ordre de quelques centaines.

Nous avons vérifié sur PICSEL: le pb est présent en 8.3 + 8.3.1 et 8.3.2

 ","V8.3.0"
"[Contrat] Anomalie onglet procédure renouvellement en cours","Corrigé en production","DP ROC","ROC-3165","Majeur","Contrat","V8.3.3","Sprint V9.3","Titre : [Contrat] Anomalie onglet procédure renouvellement en cours
Configuration : Qualif V8.3.2 – DR
Identifiant :
ADR : 10446_utilisateur
URL : [https://qualif-reservistes-c1dr.intradef.gouv.fr/interne/mes-contrats/reserviste/190412]


*Descriptif :*
En tant qu’ADR SSA
Dans le module « contrats en cours de renouvellement », 
Je filtre sur « procédure de renouvellement en cours » dans la colonne « état »,

*Résultat attendu :*
La liste doit afficher les dossiers en cours de renouvellement pour lesquels une action du gestionnaire est attendue. 
Il ne doit y avoir dans cette liste que des contrats se terminant dans les 7 prochains mois.
*Résultat obtenu :*
De nombreux dossiers dont le renouvellement est finalisé sont présents dans cette liste. L’ADR ne peut effectuer aucune action.
La colonne « date de fin ESR » indique des fins de contrat en 2030. Ces dossiers doivent être dans « contrats actifs ».","V8.3.2"
"[Contrat] Impossible de téléverser un document de mesures d’attractivité","En cours de résolution et de qualification","DP ROC","ROC-3164","Majeur","Contrat","LIVRAISON HORS VERSION","Sprint V9.5","*Titre* : [Contrat] Impossible de téléverser un document de mesures d’attractivité

*Configuration* : Qualif V8.3.2 – DR

*Identifiant* :

AF : 742_utilisateur

*URL* :  _https://qualif-reservistes-c1dr.intradef.gouv.fr/interne/admin/ref-particulier/mes-contrats-mesures-attractivites_

*Descriptif* :

En tant qu’AF SSA

Je supprime le document présent dans mesures d’attractivité, 

Je téléverse le nouveau document puis clique sur « valider »

 

*Résultat attendu* :

Le nouveau document est enregistré et peut être ouvert

*Résultat obtenu* :

Le nouveau document n’est pas enregistré. Il n’est donc pas accessible :","V8.3.2"
"[Contrat] mauvaise redirection","Corrigé en production","DP ROC","ROC-3163","Mineur","Contrat","V8.3.3","Sprint V9.3","*Titre* : [Contrat] mauvaise redirection

*Configuration* : PPROD V8.3.2

*Identifiant* :

ADR :10446_utilisateur

*URL* : 

*Descriptif* :

En tant qu'ADR,

je clique sue ""contrat/mobilité"" puis ""en renouvellement""

je sélectionne un contrat qui est a l’étape ""retours des termes""

je clique sue ""accepter la durée"" 
 

*Résultat attendu* :

redirection vers le tableau "" contrats en cours de renouvellement""

*Résultat obtenu* :

redirection vers le tableau "" contrats a renouveler""","V8.3.2"
" [Compte] création de délégataire par AF ","Corrigé en production","DP ROC","ROC-3151","Majeur","Comptes","V8.3.3","Sprint V9.3","*Titre* : [Compte] création de délégataire par AF

*Configuration* : PPROD V8.3.2

*Identifiant* :

AF : 4512_utilisateur

*URL* :  https://qualif-reservistes-c1dr.intradef.gouv.fr/interne/admin/utilisateurs/gestionnaires/4714/delegation/ajouter

*Descriptif* :

En tant qu'AF,

je clique sur ""gestion ""puis ""gestion des utilisateur

je recherche le 4714_utilisateur

au niveau de la gestion des délégation je clique sue ""créer une délégation""

je sélection "" référent"" et ""18634_utilisateur.roc@intradef.gouv.fr
 

*Résultat attendu* :

création de la délégation


*Résultat obtenu* :

Erreur inattendue

Erreur 500

 ","V8.3.2"
"[TEMPLATE] INCIDENT DE PROD","En attente de prise en compte dans l'usine logicielle","DP ROC","ROC-3149","","","","","*Incicent manager :* [tag de la personne gérant l'incident] 

*Point de contact :* [liste des personnes a contacter (coté DP...)]

*Date et Heure de déclaration de l'incident :* 
[heure de déclaration de l'incident]

*Date et Heure de résolution de l'incident :* 
[heure de résolution de l'incident]

*Description du problème :* 
[Consigne de reproduction du bug (comportement observé) et comportement attendu + log si disponible.]

*Liens vers les ressources nécessaires (resana ou autres) :* 

*Impact technique :* [texte] 

*impact metier* : [texte]

*Cause du problème et résolution :* [texte]

*Chronologie de l'incident:* 
||date:heure||évènement ou action (résumé)||personnes impliqué (rôle)||
| | | |

 

*Action post-incident :*
||Action||Responsable||Statut||Ticket Jira||
| | | | |

 

 

 ","LIVRAISON HORS VERSION"
"[MOE] [Volontariat] Motif d'alerte modifiable alors qu'il ne devrait pas","En cours de résolution et de qualification","DP ROC","ROC-3146","Majeur","Candidature","V9.4.0","Sprint V9.4","En tant qu'AF, lorsque je reviens sur le processus d'engagement d'un candidat qui a eu une alerte à l'étape ""Entretien"" en unité"", si je clique sur le bloc ""Entretien en unité"" la coche Alerte et sélectionné et le motif et renseigné.

Alors que je ne devrais pas pouvoir enregistrer un nouveau motif d'alerte, j'ai pu modifier le motif ET l'enregistrer.

Après enregistrement / Validation si je reviens sur le bloc le nouveau motif a été enregistré

!image-2026-01-28-11-46-19-147.png!

 

!image-2026-01-28-11-47-03-908.png!","V9.2.0"
"[MOE] Entretien en unité - Retour sur le Suivi des candidatureS KO","En cours de résolution et de qualification","DP ROC","ROC-3145","Majeur","Candidature","V9.3.0","Sprint V9.3","Env INT

En tant qu'AF je vais sur le bloc suivi des candidatures et je filtre sur l'étape ""Entretien en unité"" puis je clique sur un candidat et j'arrive sur sa page d'engagement avec le différents blocs.

Je clique sur le bloc ""Entretien en unité"" (ici le bloc est validé), j'arrive sur la page Entretien en unité en lecture seule.

!image-2026-01-28-09-47-24-369.png!

Quand je clique sur retour, je reviens su la page d'engagement avec les différents blocs. si je reclique sur Retour, je reviens sur la page Entretien en unité au lieu de revenir sur la page Suivi des candidatures

!image-2026-01-28-09-48-56-922.png!

!image-2026-01-28-09-50-04-022.png!","V9.2.0"
"[MOE] Création activité prioritaire RO1/RO2 - Les boutons ""précédent"" et ""suivant"" sont à gauche","En cours de résolution et de qualification","DP ROC","ROC-3136","Mineur","Activités","V9.3.0","Sprint V9.3","Création activité prioritaire RO1 ou RO2 - Les boutons ""précédent"" et ""suivant"" sont à gauche alors qu'ils devraient être à droite en bas de la page

!image-2026-01-26-17-27-00-708.png!","V9.2.0"
"[MOE] Problème d'affichage de la liste département suite à la sélection sur la carte","En cours de résolution et de qualification","DP ROC","ROC-3134","Majeur","Activités","V9.3.0","Sprint V9.3","2 cas d'erreur :

1er cas : Création Offre d'emploi :

En tant qu'AF je créé une offre d'emploi pour un poste permanant RO1, quand je clique sur la carte de la France un ou plusieurs départements je m'attends à avoir la liste avec le(s) département(s) sélectionné(s), or la liste n'apparait pas j'ai juste le libellé

 

2ème cas : Création d'une activité :

En tant qu'AF je créé une offre d'emploi pour un poste permanant RO1, quand je clique sur la carte de la France un ou plusieurs départements je m'attends à avoir la liste avec le(s) département(s) sélectionné(s), or la liste n'apparait dynamiquement, il faut que je clique sur Enregistrer pour que le(s) département(s) sélectionné(s) s'affiche(nt)

 

 ","V9.2.0"
"Pb retour API DGFIP","Corrigé en production","DP ROC","ROC-3133","Bloquant","Environnement","V8.3.3","Sprint V9.3","Bonjour,

Après de nombreux essais, nous avons pu réaliser un fichier de flux Rox rénové qui fonctionne. Un RO1 a pu être importé.

Vérification sur le rapport qualité pour s'assurer de la présence ou non des informations DGFIP : Les informations ne sont pas présentes

Vérification des logs : il y a des erreurs.

Les tests ont été réalisés sur l'environnement de qualification après implémentation du env.local.

 ","V8.3.1"
"[activités]refus RO2 non prit en compte","Corrigé en production","DP ROC","ROC-3126","Majeur","Activités","V8.3.2","Sprint V9.3","'+*Titre :*+ [activités]refus RO2 non prit en compte

*+Configuration:+*

PICSEL v8.3.0

 

+*URL :*+ [https://roc-front-dr-rel.picsel.defense.gouv.fr/interne/activites/export/2324925|https://roc-front-dr-rel.picsel.defense.gouv.fr/interne/activites/designer/detail/2324938]

 

*+Descriptif :+*

création d'une activité RO2 par le REF

Je me connecte en tant que RO2 (205676_reserviste)

je clique sur convocation

je clique sur l'activité propose

je sélectionne "" je ne pourrait pas participer""

je met une raison

je confirme

le REF reçoit bien le mail de refus

 

+*Résultat obtenue:*+

le REF consulte l'activité

le réserviste est noté "" sans réponse ""

 

*+Résultat attendu:+*
le toggle doit être positionné sur ""refusé""","V8.3.0"
"[Volontariat] Message d'erreur intempestif au moment du refus d'une candidature à l'étape validation définitive","Corrigé en production","DP ROC","ROC-3124","Mineur","Volontariat","V8.3.3","Sprint V9.3","PICSEL V8.3.0 DR

1309_utilisateur + candidat créé de 0

Description : 
 * Création compte candidat qui postule à une offre sur laquelle le 1309 est référent
 * Je valide tous les blocs, de manière nominale, sans aucun cas particulier (côté candidat et référent)
 * Au moment de la validation définitive, j'upload un doc, je sélectionne refusé et je clique sur valider 

Résultat obtenu : un message d'erreur apparait (alors que le comportement fonctionnel est {*}OK{*}, c'est simplement un problème de paramétrage je pense) 

Résultat attendu : uniquement le message de succès, et le même comportement fonctionnel","V8.3.0"
"[volontariat] Si un référent valide une alerte lors du contrôle du dossier, le contenue de la tuile se grise","Corrigé en production","DP ROC","ROC-3122","Majeur","Volontariat","V8.3.3","Sprint V9.3","*Version* : v.8.3.0

*Comportement observé* : Lorsqu'un référent émet une alerte, lors du contrôle du dossier d'une candidature, alors la tuile passe en vert et le contenu de cette dernière est grisée (non modifiable). Le mail est bien envoyé à l'administrateur.

*Comportement attendu:* Lorsqu'un référent émet une alerte lors du contrôle de dossier d'un candidat alors un mail est envoyé à l'administrateur et la tuile reste en bleu, son contenu n'est pas grisé et reste modifiable.

cf : US https://jira-ci.fr.capgemini.com/jira/browse/ROC-2384","V8.3.0"
"[Engagement] Première connexion AF, premier clic sur bloc Suivi des candidatures-> Tableau vide","Corrigé en production","DP ROC","ROC-3121","Majeur","Volontariat","V8.3.2","Sprint V9.3","PICSEL V8.3.0

4512_utilisateur

Description : 

- Première connexion au 4512, sans aucune action faite sur l'environnement DR (pas de cache etc...)
 * Clic sur Suivi des candidatures
 * Tableau vide
 * Recharger la page
 * Les valeurs apparaissent

 ","V8.3.0"
"[volontariat] la fiche d'évaluation d'aptitude à l'emploi de la visite médicale militaire n'est pas conforme","Corrigé en production","DP ROC","ROC-3120","Mineur","Volontariat","V8.3.3","Sprint V9.3","*Version* : v 8.3.0

*Comportement observé :* La fiche d'évaluation d'aptitude à l'emploi de la visite médicale militaire n'est pas comme le modèle affichée du cas de test https://jira-ci.fr.capgemini.com/jira/browse/ROC-2987

*Comportement attendu :* la fiche est conforme au modèle donnée par le cas de test (il ne manque pas de schéma ou la partie compétences)","V8.3.0"
"[Volontariat] Affichage du bandeau d'information bleu en haut de page devenu inesthétique ","Corrigé en production","DP ROC","ROC-3119","Mineur","Volontariat","V8.3.2","Sprint V9.3","Voir le comparatif des PJ, l'affichage en ligne = V7.5.3 PICSEL ; l'affichage en colonne = V8.3.0 PICSEL. Les deux sont issues de la première connexion d'un volontaire qui vient de créer son compte. ","V8.3.0"
"[Volontariat] Après de un/des refus au moment de la prise de rdv en unité, un volontaire se trouve bloqué au choix de l'emploi","Corrigé en production","DP ROC","ROC-3118","Bloquant","Volontariat","V8.3.3","Sprint V9.3","PICSEL *V8.3.0*

Volontaire créé pour le test +*Prénom* :+ Edouard +*Nom* :+ EdouardDeux ; AF : 4512 ; Référent : 4714

Description : 
 * Création compte candidat
 * Choix offre d'emploi -> bloc passe vert et autres modules s'ouvrent 
 * Refus à l'état *rdv en unité* par le référent
 * Le candidat recandidate au même emploi -> bloc passe vert et autres modules s'ouvrent
 * Refus à l'état *prise rdv en unité* par l'AF  
 * Le candidat recandidate au même emploi -> *bloc passe bleu et les autres blocs ne s'ouvrent pas*
 * Impossible de ""dé-candidater"" ou de postuler à une autre offre --> le volontaire se trouve bloqué (à moins que vous trouviez une autre méthodo pour le débloquer) ","V8.3.0"
"[emploi] l'ADS, l'ADR et leurs délégataires peuvent modifier les offres d'emploi au lieu d'être en lecture seule","Corrigé en production","DP ROC","ROC-3117","Mineur","Emploi","V8.3.2","Sprint V9.3","*Identifiant* : A-ADS/ADR et leurs DEL

{*}Environnement{*}: PICSEL 8.3.1

*Comportement* *observé* : L'ADS, l'ADR et leurs délégataires peuvent modifier les offres d'emploi au lieu d'être en lecture seule

*Comportement* *attendu* : L'ADS, l'ADR et leurs délégataires ne peuvent pas modifier les offres d'emplois et peuvent seulement visualiser les offres d'emploi

 

CF US [ROC-2090] [Volontariat] Visualiser les offres d'emplois publiées en tant que gestionnaire - Jira CI","V8.3.1"
"[activités]erreur 500 /activités passées/export activité","Corrigé en production","DP ROC","ROC-3113","Majeur","Activités","V8.3.2","Sprint V9.2","'+*Titre :*+ [activités]erreur 500 /activités passées/export activité

*+Configuration:+*

PICSEL v8.3

 

+*URL :*+ https://roc-front-dr-rel.picsel.defense.gouv.fr/interne/activites/export/2324925

 

*+Descriptif :+*

Je me connecte en tant que REF/AF/AF/PIL       

Je clique sur le bloc « Activité »

Dans le tableau je sélectionne «  Activités passées »

Je sélectionne une activité

Je clique sur « exporter une activité »


 

+*Résultat obtenue:*+

erreur 500

 

*+Résultat attendu:+*

consultation de l'ENARO avec la signature","V8.3.0"
"Erreur binding entity RefUnite","En attente de prise en compte dans l'usine logicielle","DP ROC","ROC-3072","","Unités","","","Je note plusieurs fois cette erreur, sans pourtant comprendre pourquoi car l'entité est correctement implémentée 



request.CRITICAL: Uncaught PHP Exception Doctrine\\ORM\\ORMInvalidArgumentException: ""Binding entities to query parameters only allowed for entities that have an identifier. Class ""App\\Entity\\RefUnite"" does not have an identifier."" at ORMInvalidArgumentException.php line 125 \\{""exception"":""[object] (Doctrine\\\\ORM\\\\ORMInvalidArgumentException(code: 0): Binding entities to query parameters only allowed for entities that have an identifier.\\nClass \\""App\\\\Entity\\\\RefUnite\\"" does not have an identifier. at /var/www/html/vendor/doctrine/orm/src/ORMInvalidArgumentException.php:125)""} \\{""dt.trace_sampled"":""true""}","V7.5.1"
"[Information] Pb tests des routes api relatives aux contrats","En cours de résolution et de qualification","DP ROC","ROC-2962","","Contrat","LIVRAISON HORS VERSION","Sprint V9.4","En PJ, mes questions concernant les routes api relatives aux contrats afin de pouvoir les tester (avec JMeter)","V7.4.1"
"[E-billet] Bug affichage sur l'heure de départ après la Création de E-Billet","En attente de prise en compte dans l'usine logicielle","DP ROC","ROC-2354","","E-billet","","","Tacite envoie les données pour la création de E-billet (après les informations saisies par utilisateur), voici la requête envoyé par Tacite et réponse de ROC :

 

Sep 18 11:10:38 MOCKAPISVC569V mockapi[27862]: *Réponse envoyée au client :* {""REQUETE"":{""HEADER"":

{""FROM"":""TACITE"",""TO"":""RESERVE"",""DATETIMEGENE"":""2025-09-18 11:10:38"",""TYPE"":""ENGAOK"",""IDENTIFIANT"":""452147""}

,""ENGAOK"":{""DATECOMMANDE"":""2025-09-18 11:10:38"",""GAREDEPART"":""Paris"",""GAREARRIVEE"":""Lyon"",""DATEDEPART"":""2025-09-18"",""DATERETOUR"":""2025-09-18"",""DETAILTRAJET"":[

{""TRAJET"":""ALLER"",""NUMSEGMENT"":2,""GAREDEPART"":""Paris"",""GAREARRIVEE"":""Lyon"",""DATEDEPART"":""2025-09-18"",""HEUREDEPART"":""08:30"",""HEUREARRIVEE"":""10:15"",""NUMTRAIN"":""ABC12345"",""CLASSE"":""2""}

,\\{""TRAJET"":""RETOUR"",""NUMSEGMENT"":2,""GAREDEPART"":""Lyon"",""GAREARRIVEE"":""Paris"",""DATEDEPART"":""2025-09-18"",""HEUREDEPART"":""17:45"",""HEUREARRIVEE"":""19:30"",""NUMTRAIN"":""XYZ67890"",""CLASSE"":""2""}],""MONTANT"":""97.85822652676706"",""NUMPNR"":""7739694e-f9e1-48c6-a3c5-6f2e51c7fc89"",""RECLOCTRAIN"":""LOC34""}}}

Sep 18 11:10:38 MOCKAPISVC569V mockapi[27862]: *Réponse reçue du client* : \\{""REPONSE"":{""DATETIMEGENE"":""2025-09-18 11:10:38"",""IDENTIFIANT"":""452147"",""STATUT"":""OK""}}

 

{color:#de350b}*L'utilisateur va sur la page Mes e-billets, la date/heure Aller affiché à l'écran n'est pas la bonne (heure de départ envoyé précédemment 8:30 ici on lui affiche 11:10 qui correspond à la date/heure de réponse généré)*{color}

 

!image-2025-09-18-12-02-32-956.png|width=787,height=402!

 

Voici également l'enregistrement concernant cette commande E-billet dans la BDD :

 
MariaDB [reserves2019]> select * from commande_billet where commande_date_retour=""2025-09-18 17:45"";
{+}------------{-}{-}{+}-------------------{-}++{-}--------------------------{-}{-}-----------------{-}++{-}-------------------------------{-}{-}---------------------{-}++{-}----------------------{-}{-}--------------------{-}++{-}---------------------{-}{-}--------------------{-}++{-}--------------------{-}{-}----------------{-}++{-}------------------------------------{-}{-}---------------------{-}++{-}-----------------{-}{-}------------------------{-}++{-}-----------------
|commande_id|commande_reserviste|commande_ref_etat_commande|commande_workflow|commande_numero_ordre_transport|commande_date_demande|commande_date_commande|commande_gare_depart|commande_gare_arrivee|commande_date_depart|commande_date_retour|commande_montant|commande_num_pnr                     |commande_recloc_train|commande_valideur|commande_date_validation|a_traiter_tacite|

{+}------------{-}{-}{+}-------------------{-}++{-}--------------------------{-}{-}-----------------{-}++{-}-------------------------------{-}{-}---------------------{-}++{-}----------------------{-}{-}--------------------{-}++{-}---------------------{-}{-}--------------------{-}++{-}--------------------{-}{-}----------------{-}++{-}------------------------------------{-}{-}---------------------{-}++{-}-----------------{-}{-}------------------------{-}++{-}-----------------
|      452147|               12603|                          1|           2260734|9999999999                     |2025-09-18 11:05:20   |2025-09-18 11:10:38   |Paris               |Lyon                 |2025-09-18 11:10:38 |2025-09-18 17:45:00 |  97.858226526767|7739694e-f9e1-48c6-a3c5-6f2e51c7fc89|LOC34                 |              4512|2025-09-18 11:10:10     |                0|

{+}------------{-}{-}{+}-------------------{-}++{-}--------------------------{-}{-}-----------------{-}++{-}-------------------------------{-}{-}---------------------{-}++{-}----------------------{-}{-}--------------------{-}++{-}---------------------{-}{-}--------------------{-}++{-}--------------------{-}{-}----------------{-}++{-}------------------------------------{-}{-}---------------------{-}++{-}-----------------{-}{-}------------------------{-}++{-}-----------------
1 row in set (0.262 sec)
 
MariaDB [reserves2019]> select commande_date_depart from commande_billet where commande_date_retour=""2025-09-18 17:45"";
+----------------------+
|commande_date_depart|

+----------------------+
|2025-09-18 11:10:38 |

+----------------------+
1 row in set (0.119 sec)
 

 ","V6.3.2"
"[Information] Demande d'informations sur l'état des lieux des CRON","En attente de prise en compte dans l'usine logicielle","DP ROC","ROC-2231","","Environnement","","","Est ce que des modifications ont été apportées sur les CRON suite à l'étude du14 04 2025 ?

Si oui, quel est le nouvel état des lieux des CRON ?","V6.3.1"
"[Information] Demande d'informations sur les fichiers de trace","En attente de prise en compte dans l'usine logicielle","DP ROC","ROC-2221","","Environnement","","","Bonjour, pouvez vous me communiquer si les traces comprennent bien les champs obligatoires suivants :  
- Horodatage de la trace 
- Fuseau horaire du générateur ou décalage UTC 
- Nom du générateur de la trace 
- Adresse IP du générateur de la trace 
- Nom d’hôte source (si applicable) 
- Nom d’hôte destination (si applicable) 
- Adresse IP de la source (si applicable) 
- Adresse IP de la destination (si applicable) 
- Port source (si applicable) 
- Port destination (si applicable) 
- Compte utilisateur concerné (si applicable) 
- Action 
- Résultat 
- Sévérité 
- Description 
- Requête / commande 
- Nom de l’outil provoquant la trace (type de virus ou d’outil « interdit ») (si applicable) 
- Liste des fichiers concernés (nom ou valeur de hachage) 
- Identifiant de la règle ou de la signature provoquant la trace (si applicable)","V6.3.1"
"[Information] Demande d'informations sur actions à réaliser suite analyse code audit","En attente de prise en compte dans l'usine logicielle","DP ROC","ROC-2211","","Environnement","","","Une analyse du code avait été réalisé il y a quelques années. Pouvez vous me communiquer si les préconisations suivantes ont été prises en compte :
 * suppression des méthodes vides ;
 * mise en place de clause ""default"" ;
 * suppression des variables locales non utilisées ;
 * suppression des fonctions strictement identiques ;
 * simplifier les fonctions à complexité cognitive élevé ;
 * simplifier les fonctions trop lourdes.","V6.3.0"
"[Environnement] Des informations fonctionnelles sont renseignées dans les header des APIs : cela est-il le fonctionnement attendu ?","En attente de prise en compte dans l'usine logicielle","DP ROC","ROC-2126","","Environnement","","","PICSEL v6.3 : +demande d'information pour savoir si ce fonctionnement est le fonctionnement normal du produit+

Dans le header des requêtes des informations fonctionnelles sont renseignées: ce fonctionnement est-il le fonctionnement normal et attendu du produit ? 
Sachant que ces informations sont absentes de la définition des spécifications json swagger de l'OpenAPI mais apparaissent avec le profiler synfony



{+}1. Pour créer une communication massive il faut faire une requête du type ci-dessou{+}s

{color:#172b4d}POST https://roc-back-dr-pre.picsel.defense.gouv.fr/v7/api/message-communication-massive{color}

+*Header*+

{color:#172b4d}Connection: keep-alive{color}
{color:#172b4d}accept: application/json{color}
{color:#172b4d}Content-Type: application/json{color}
{color:#172b4d}MinArm-PEM-Authorization: Bearer 06158452-6f1e-3127-9ca1-813597a11bd0{color}
{color:#de350b}ROC-Utilisateur-Uid: 014512{color}
{color:#de350b}ROC-Utilisateur-Role-Id: 2{color}
{color:#de350b}ROC-Env: intradef{color}
{color:#de350b}X-ROC-Referer: DR{color}
{color:#172b4d}Content-Length: 4015{color}
{color:#172b4d}Host: roc-back-dr-pre.picsel.defense.gouv.fr{color}
{color:#172b4d}User-Agent: Apache-HttpClient/4.5.14 (Java/21.0.8){color}

{color:#172b4d}+*Body*+ .json ci-joint fabriqué par Mme [~slegras]  dans le cadre du ticket ROC-2075
{color}

Response code:201
Response message:Created
Response body: \\{""id"":1129}

2. On a également ce comportement sur d'autres APIs, par exemple Post activité

curl \\
  --compressed \\
  --request POST \\
  --url 'https://backdrdev903v.picsel.defense.gouv.fr/v7/api/activites' \\
  --header 'ROC-Utilisateur-Uid: 014512' \\
  --header 'ROC-Utilisateur-Role-Id: 2' \\
  --header 'ROC-Env: intradef' \\
  --header 'X-ROC-Referer: DR' \\
  --header 'Accept: application/json' \\
  --header 'Content-Type: application/json' \\
  --header 'User-Agent: Symfony HttpClient (Curl)' \\
  --header 'Accept-Encoding: gzip' \\
  --header 'Content-Length: 569' \\
  --data-raw '\\{""objet"":""{\\""modele_activite_est_dans_perimetre\\"":1,\\""modele_activite_notif_inscription\\"":false,\\""modele_activite_visible\\"":false,\\""modele_activite_code\\"":{\\""ref_code_activite_id\\"":701,\\""ref_code_activite_libelle\\"":\\""Activit\\\\u00e9s de pr\\\\u00e9paration op\\\\u00e9rationnelle MDR de niveau UP2\\"",\\""ref_code_activite_valeur\\"":\\""618\\""},\\""modele_activite_is_modele\\"":true,\\""modele_activite_unites_perimetre\\"":[\\{\\""ref_unite_id\\"":3162}],\\""createur\\"":\\{\\""utilisateur_id\\"":4512},\\""inscrit_ro1_visible\\"":true,\\""choix_critere_geographique\\"":false,\\""modele_activite_id\\"":2199054}""}'

 

Éléments cohérents fournis dans le ticket ROC-2075, par la MOE ou des informations fonctionnelles apparaissent dans le header

 

Discuté avec le lieutenant [~X-LLODI] et [~celime] 
Ticket validé pour ouverture en demande d'information","V6.3.0"
